path	options	metrics
combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'richardson', 'pc_type': 'lu'}	{'iter': 1, 'mem': 34790650.0, 'norm': 1.348819e-14, 'time': 0.01054906}
combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'richardson', 'pc_type': 'ilu'}	{'iter': 2, 'mem': 28243800.0, 'norm': 4.19649e-12, 'time': 0.0004694375}
combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'gmres', 'pc_type': 'none'}	{'iter': 66, 'mem': 30534160.0, 'norm': 0.2002842, 'time': 0.006177681}
combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'gmres', 'pc_type': 'asm'}	{'iter': 2, 'mem': 30956130.0, 'norm': 9.559599e-13, 'time': 0.001420331}
combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'gmres', 'pc_type': 'gamg'}	{'iter': 3, 'mem': 31826040.0, 'norm': 2.334014e-08, 'time': 0.01209873}
combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'gmres', 'pc_type': 'jacobi'}	{'iter': 3, 'mem': 29454380.0, 'norm': 3.603975e-09, 'time': 0.0004713265}
combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'gmres', 'pc_type': 'lu'}	{'iter': 1, 'mem': 35147490.0, 'norm': 2.471394e-12, 'time': 0.01034935}
combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'gmres', 'pc_type': 'ilu'}	{'iter': 2, 'mem': 29411450.0, 'norm': 9.559599e-13, 'time': 0.0005445139}
combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'chebyshev', 'pc_type': 'none'}	{'iter': 291, 'mem': 30006640.0, 'norm': 0.2344457, 'time': 0.009701206}
combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'chebyshev', 'pc_type': 'asm'}	{'iter': 23, 'mem': 31949460.0, 'norm': 4.005067e-06, 'time': 0.002970827}
combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'chebyshev', 'pc_type': 'gamg'}	{'iter': 27, 'mem': 32274230.0, 'norm': 6.496143e-06, 'time': 0.02009777}
combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'chebyshev', 'pc_type': 'jacobi'}	{'iter': 27, 'mem': 30162530.0, 'norm': 6.935496e-06, 'time': 0.001282665}
combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'chebyshev', 'pc_type': 'lu'}	{'iter': 23, 'mem': 36334180.0, 'norm': 4.002665e-06, 'time': 0.01695371}
combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'chebyshev', 'pc_type': 'ilu'}	{'iter': 23, 'mem': 29833540.0, 'norm': 4.005067e-06, 'time': 0.001834714}

combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'cg', 'pc_type': 'none'}	{'iter': 65, 'mem': 27131540.0, 'norm': 0.2337102, 'time': 0.003407262}
combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'cg', 'pc_type': 'asm'}	{'iter': 2, 'mem': 29954870.0, 'norm': 1.989054e-12, 'time': 0.00142943}
